# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
15332.8000 M451 234231 2 1986.8000 grid0145 grid0127 266 N grid0145->grid0125->grid0127
15384.0000 M489 181138 2 945.0000 grid10100 grid10114 284 N grid10100->grid10106->grid10114
15587.4000 M455 182120 4 2125.4000 grid11127 grid11134 264 N grid11127->grid11129->grid11130->grid11144->grid11134
15632.9000 M446 127581 3 2421.9000 grid0127 grid0126 259 N grid0127->grid0144->grid0138->grid0126
15896.8000 M508 228443 2 895.8000 grid0141 grid0132 285 N grid0141->grid0142->grid0132
16012.1000 M513 234542 1 870.1000 grid0143 grid0130 285 N grid0143->grid0130
16338.2000 M517 192209 4 1074.2000 grid0127 grid0129 282 N grid0127->grid0125->grid0140->grid0134->grid0129
16520.3000 M516 249435 1 1288.3000 grid0254 grid0272 278 N grid0254->grid0272
16557.8000 M509 135704 2 1529.8000 grid008 grid0011 274 N grid008->grid0024->grid0011
16628.3000 M484 151893 3 2344.3000 grid12153 grid12161 260 N grid12153->grid12158->grid12165->grid12161
16803.9000 M521 218532 2 1423.9000 grid11130 grid11146 276 N grid11130->grid11133->grid11146
16821.2000 M552 213080 2 531.2000 grid002 grid0011 291 N grid002->grid0022->grid0011
16836.9000 M537 173966 2 1003.9000 grid0148 grid0140 283 N grid0148->grid0145->grid0140
16913.7000 M573 162665 1 0.7000 grid10123 grid10124 299 N grid10123->grid10124
17902.7000 M236 240219 4 10927.7000 grid0136 grid0272 117 N grid0136->grid0149->grid0134->s01404->grid0272
18000.3000 M572 170142 3 1117.3000 grid0392 grid0396 281 N grid0392->grid0385->grid0382->grid0396
18234.8000 M68 235233 3 16212.8000 grid0392 grid12151 29 N grid0392->s02407->s02406->grid12151
18429.1000 M591 213829 2 993.1000 grid0390 grid0387 283 N grid0390->grid0388->grid0387
18556.7000 M569 249078 4 1756.7000 grid000 grid005 270 N grid000->grid002->grid0020->grid0018->grid005
18733.6000 M605 173171 2 862.6000 grid10118 grid10104 285 N grid10118->grid10107->grid10104
18738.3000 M526 215714 4 3214.3000 grid0266 grid0264 246 N grid0266->grid0257->grid0268->grid0272->grid0264
18789.3000 M612 135882 3 708.3000 grid10111 grid10117 288 N grid10111->grid10106->grid10109->grid10117
18840.4000 M622 211875 3 464.4000 grid11149 grid11146 292 N grid11149->grid11141->grid11135->grid11146
18875.1000 M584 229589 2 1645.1000 grid0134 grid0140 272 N grid0134->grid0135->grid0140
19161.0000 M600 163651 1 1446.0000 grid10121 grid10101 275 N grid10121->grid10101
19205.7000 M570 185621 2 2379.7000 grid0125 grid0136 260 N grid0125->grid0135->grid0136
19247.3000 M553 197484 4 2927.3000 grid12155 grid12165 251 N grid12155->grid12167->grid12162->grid12170->grid12165
19459.7000 M606 237803 2 1554.7000 grid0135 grid0130 274 N grid0135->grid0126->grid0130
19847.9000 M592 169041 3 2379.9000 grid12163 grid12165 260 N grid12163->grid12157->grid12161->grid12165
20413.1000 M660 181523 3 892.1000 grid0377 grid0390 285 N grid0377->grid0399->grid0395->grid0390
21152.2000 M687 235581 1 838.2000 grid0020 grid0021 286 N grid0020->grid0021
21457.2000 M304 184101 2 12478.2000 grid10114 grid005 92 N grid10114->s00401->grid005
21475.4000 M680 143308 3 1356.4000 grid10108 grid10103 277 N grid10108->grid10112->grid10114->grid10103
21782.4000 M729 215774 1 207.4000 grid10100 grid10107 296 N grid10100->grid10107
22829.6000 M760 217497 1 296.6000 grid0145 grid0139 295 N grid0145->grid0139
23111.3000 M763 175188 2 494.3000 grid0395 grid0388 291 N grid0395->grid0391->grid0388
23721.2000 M748 229954 3 1568.2000 grid12154 grid12165 273 N grid12154->grid12159->grid12168->grid12165
24099.0000 M776 156594 1 1097.0000 grid0140 grid0131 281 N grid0140->grid0131
24829.0000 M819 228720 4 571.0000 grid11147 grid11130 290 N grid11147->grid11146->grid11129->grid11149->grid11130
24862.0000 M771 211573 3 2007.0000 grid0263 grid0270 266 N grid0263->grid0260->grid0254->grid0270
24988.4000 M826 170441 1 525.4000 grid10124 grid10120 291 N grid10124->grid10120
25100.9000 M816 212561 2 923.9000 grid0274 grid0267 284 N grid0274->grid0256->grid0267
25145.7000 M832 167378 3 517.7000 grid0019 grid0014 291 N grid0019->grid0021->grid007->grid0014
25175.3000 M813 129312 3 1090.3000 grid0126 grid0135 281 N grid0126->grid0145->grid0139->grid0135
25349.3000 M824 226587 2 947.3000 grid006 grid0017 284 N grid006->grid007->grid0017
25978.6000 M809 165973 2 2008.6000 grid005 grid0011 266 N grid005->grid000->grid0011
26278.3000 M861 214922 3 780.3000 grid0377 grid0395 286 N grid0377->grid0390->grid0375->grid0395
26533.8000 M817 162435 2 2329.8000 grid0382 grid0389 261 N grid0382->grid0379->grid0389
26839.8000 M808 176111 3 2898.8000 grid0394 grid0377 251 N grid0394->grid0393->grid0380->grid0377
26875.5000 M852 182911 1 1649.5000 grid0010 grid0019 272 N grid0010->grid0019
27403.1000 M917 145599 3 230.1000 grid10110 grid10111 296 N grid10110->grid10106->grid10115->grid10111
27600.4000 M877 153030 2 1621.4000 grid0384 grid0398 272 N grid0384->grid0397->grid0398
27659.4000 M918 227006 2 461.4000 grid11148 grid11140 292 N grid11148->grid11135->grid11140
27727.4000 M926 139597 1 291.4000 grid10116 grid10112 295 N grid10116->grid10112
28159.9000 M944 130650 1 180.9000 grid0126 grid0133 296 N grid0126->grid0133
28337.0000 M901 225053 2 1645.0000 grid10113 grid10107 272 N grid10113->grid10124->grid10107
28422.7000 M834 166001 2 3737.7000 grid0381 grid0391 237 N grid0381->grid0393->grid0391
29163.2000 M939 176429 2 1337.2000 grid11125 grid11147 277 N grid11125->grid11149->grid11147
29372.4000 M941 151810 2 1488.4000 grid10114 grid10120 275 N grid10114->grid10103->grid10120
29752.0000 M953 133318 2 1500.0000 grid11137 grid11148 275 N grid11137->grid11132->grid11148
29800.2000 M920 171144 4 2545.2000 grid10113 grid10114 257 N grid10113->grid10119->grid10100->grid10124->grid10114
30112.6000 M960 235822 3 1655.6000 grid10121 grid10105 272 N grid10121->grid10109->grid10106->grid10105
30186.8000 M958 220954 1 1789.8000 grid0375 grid0383 270 N grid0375->grid0383
30464.2000 M1001 221434 2 819.2000 grid0126 grid0148 286 N grid0126->grid0142->grid0148
30613.4000 M1015 225619 3 559.4000 grid0266 grid0267 290 N grid0266->grid0258->grid0262->grid0267
30988.2000 M961 219767 2 2500.2000 grid12156 grid12164 258 N grid12156->grid12162->grid12164
31100.4000 M1031 137747 1 579.4000 grid0398 grid0399 290 N grid0398->grid0399
31230.3000 M1038 162474 2 498.3000 grid12155 grid12161 291 N grid12155->grid12162->grid12161
31312.9000 M1040 129395 1 528.9000 grid0393 grid0382 291 N grid0393->grid0382
31476.9000 M1033 227012 2 894.9000 grid11129 grid11133 285 N grid11129->grid11137->grid11133
31920.0000 M992 128239 1 2555.0000 grid0255 grid0262 257 N grid0255->grid0262
32720.8000 M1059 224337 2 1366.8000 grid0126 grid0136 277 N grid0126->grid0142->grid0136
32913.3000 M1078 180625 1 991.3000 grid11141 grid11140 283 N grid11141->grid11140
33043.9000 M1100 197689 3 467.9000 grid11134 grid11139 292 N grid11134->grid11140->grid11133->grid11139
33044.8000 M1045 248473 2 2102.8000 grid0258 grid0254 264 N grid0258->grid0265->grid0254
33081.4000 M1082 166715 3 1037.4000 grid0267 grid0256 282 N grid0267->grid0258->grid0271->grid0256
33284.3000 M1115 171583 1 260.3000 grid0258 grid0265 295 N grid0258->grid0265
33606.3000 M1030 195051 4 3115.3000 grid0261 grid0250 248 N grid0261->grid0270->grid0259->grid0268->grid0250
33708.4000 M1075 193002 3 1870.4000 grid0388 grid0398 268 N grid0388->grid0389->grid0385->grid0398
33826.4000 M1095 139910 4 1397.4000 grid10100 grid10118 276 N grid10100->grid10117->grid10103->grid10120->grid10118
33933.4000 M1129 196525 3 501.4000 grid0388 grid0380 291 N grid0388->grid0385->grid0398->grid0380
34021.8000 M1079 239735 1 2066.8000 grid0272 grid0254 265 N grid0272->grid0254
34045.8000 M1099 185268 2 1503.8000 grid0255 grid0270 274 N grid0255->grid0264->grid0270
34552.7000 M1155 131180 1 373.7000 grid12166 grid12164 293 N grid12166->grid12164
34565.3000 M1138 157170 2 874.3000 grid0135 grid0147 285 N grid0135->grid0145->grid0147
34754.4000 M1123 176208 1 1506.4000 grid0378 grid0387 274 N grid0378->grid0387
34891.4000 M1160 234120 2 555.4000 grid0147 grid0132 290 N grid0147->grid0135->grid0132
34929.8000 M1162 132728 2 537.8000 grid12158 grid12157 291 N grid12158->grid12167->grid12157
35098.8000 M1159 204807 3 789.8000 grid0399 grid0391 286 N grid0399->grid0379->grid0385->grid0391
35187.6000 M1112 156560 4 2249.6000 grid12151 grid12161 262 N grid12151->grid12170->grid12173->grid12167->grid12161
35965.2000 M1166 221367 3 1448.2000 grid11141 grid11133 275 N grid11141->grid11131->grid11138->grid11133
36230.5000 M1212 137978 2 386.5000 grid11139 grid11143 293 N grid11139->grid11144->grid11143
36301.0000 M1196 249333 2 917.0000 grid0015 grid000 284 N grid0015->grid0016->grid000
36474.7000 M1140 236108 1 2729.7000 grid0125 grid0142 254 N grid0125->grid0142
36552.8000 M1215 220722 2 624.8000 grid0271 grid0265 289 N grid0271->grid0255->grid0265
36607.6000 M1152 154420 1 2516.6000 grid11144 grid11130 258 N grid11144->grid11130
36645.8000 M1194 247902 2 1318.8000 grid11145 grid11132 278 N grid11145->grid11149->grid11132
36668.1000 M1221 210116 1 556.1000 grid11144 grid11138 290 N grid11144->grid11138
36763.8000 M1171 223047 2 2102.8000 grid0141 grid0134 264 N grid0141->grid0144->grid0134
36769.0000 M1187 185537 3 1644.0000 grid0376 grid0399 272 N grid0376->grid0385->grid0397->grid0399
37361.9000 M1220 203501 3 1277.9000 grid0379 grid0378 278 N grid0379->grid0388->grid0385->grid0378
37454.9000 M1250 164006 1 497.9000 grid0134 grid0136 291 N grid0134->grid0136
37559.4000 M1229 222572 3 1217.4000 grid0017 grid0019 279 N grid0017->grid0015->grid0016->grid0019
37568.7000 M1264 177902 1 206.7000 grid0133 grid0134 296 N grid0133->grid0134
37600.3000 M1207 141555 3 1902.3000 grid12161 grid12156 268 N grid12161->grid12159->grid12166->grid12156
37630.9000 M1254 234163 1 559.9000 grid0011 grid003 290 N grid0011->grid003
37861.3000 M1218 174463 2 1839.3000 grid10100 grid10109 269 N grid10100->grid10106->grid10109
37900.2000 M1241 191639 2 1193.2000 grid0392 grid0391 280 N grid0392->grid0393->grid0391
38606.1000 M1242 154226 3 1874.1000 grid0132 grid0140 268 N grid0132->grid0134->grid0137->grid0140
39167.4000 M1262 212163 3 1860.4000 grid12150 grid12163 268 N grid12150->grid12166->grid12159->grid12163
